#v1	v2	v3	v4	v5	v6	v7	v8	v9	z
0.8743346913501765	0.27115030160992004	0.9694451631100284	0.8561273282072859	0.3747433210115772	0.8943455658086387	0.41492498311523185	0.0	0.8297720175414999	0.746619956390985
0.5412341390390496	0.9475319273997614	0.46782389700413846	0.0922969714001474	0.48250717318616365	0.7474676050994747	0.43410926180441056	0.0	0.21808603614140018	0.3506619910775177
0.1763901559603676	0.4844854304976578	0.23843911250098881	0.13623571810635668	0.4983531650980875	0.6883738987319181	0.5072165719978059	1.0	0.052275009121978994	0.2376613343785052
0.04317163727861346	0.7550966355895222	0.9251796214799176	0.8012574798516273	0.6694857050389147	0.5594988101606226	0.640840714853812	0.0	0.8250907782967655	0.8147665067907364
0.0841360894791665	0.05856787691875723	0.31516496893879553	0.005913501864032379	0.3931622164166579	0.5174250756706239	0.4582537587270488	0.0	0.08421548285133947	0.160639723684469
0.05716236348404678	0.8680082528138466	0.236068054133057	0.0592564396349024	0.6280686229423837	0.28339603103108923	0.5866229290202286	1.0	0.05482285935804978	0.28593102557187283
0.18187777177527706	0.6065849741769922	0.9519620917341479	0.7831619486729228	0.16226897785470554	0.5787215840471528	0.1642806420649698	1.0	0.8510116446304682	0.9071172923683515
0.3171334547546709	0.08605318039833318	0.4436900396349487	0.05553963304487281	0.5634372844926718	0.13544684171510774	0.6190940475510033	0.0	0.16776844832122892	0.19237750268430973
0.03729582504471763	0.4311112085334382	0.42905643646297065	0.06286193005136693	0.663992187399089	0.46821160173247933	0.6753298626509073	0.0	0.16752695998363423	0.24587901634275752
0.26061380349702135	0.8785140919239557	0.09794215201747479	0.018301665123537876	0.3750188425953994	0.36432065004784986	0.33746788578648934	0.0	0.009470326258795948	0.241327059686958
0.4331251059678684	0.6720923493895291	0.21120661732674714	0.1555453871679403	0.6869723713675945	0.628396434372618	0.6674989560237056	1.0	0.0424252569730459	0.3007120785658495
0.9475620097191797	0.21526471124715962	0.7567932000285787	0.7689264864786314	0.9688048913294356	0.691114323484607	1.0	0.0	0.5003533167667886	0.546255934178584
0.6717648281556281	0.48481250506231516	0.6836856115360371	0.9069905616511174	0.6091727494533361	0.6910729548389802	0.6135353989723262	1.0	0.42946634006848894	0.5449060729058092
0.7024919897585522	0.5735054275619155	0.14064867117150912	0.11695993829509463	0.40058872734533774	0.4449172770859211	0.4002832973977559	1.0	0.018500012198390873	0.1795744548114348
0.9654958125762731	0.4291182872103761	0.4349422743318222	0.1202015564021962	0.4090465033927769	0.6140973499026295	0.42795915671396745	1.0	0.17209004808177095	0.3097383876869702
0.4758558046056346	0.9875965081312388	0.9985820147312021	0.750174725777042	0.5115826111856344	0.3666085447706498	0.45733311693081574	0.0	1.0	0.9771347168277497
0.17236377477576398	0.8699680089711425	0.4145002768017011	0.02187753101257497	0.2752273069227977	0.42177057141896385	0.2416167568427047	1.0	0.16898534119594869	0.36654974771679555
0.7237734320252878	0.32626332869494573	0.15174244032470588	0.07186606488654211	0.3680977194787061	0.37541933605901695	0.40139768530842834	0.0	0.02057553939774211	0.16352990734466433
0.44705160495436713	0.8136404965262519	0.40302888112126584	0.14365093122406294	0.47828249775136966	0.2786595079670503	0.4451943419170767	0.0	0.15823210369209612	0.3252788151525629
0.7333433078203416	0.5570510433010814	0.10400779436806792	0.08551608268322772	0.48225125310216455	0.7508628901893796	0.48211407256256317	0.0	0.010094116315317056	0.13485185060168253
0.043184121990183205	0.5629710854179399	0.13677157557065298	0.15171562730857463	0.4579483107433338	0.8321489135178807	0.4573632180368082	1.0	0.01746211620333399	0.25252805084971985
0.8586941354225239	0.5681652305966479	0.4750208142628067	0.16492482662566108	0.39079203307167515	0.32065537152292317	0.3924703299241791	0.0	0.21050923784373998	0.2925148248495343
0.8488414235843951	0.7500650597505234	0.7575114665561488	0.8672048443360681	0.6449124529609394	0.34063405780071015	0.6163859652898896	0.0	0.5526865513664062	0.6550859569526705
0.04617553863588621	0.2898856889278332	0.5711154136795472	0.6877986121529441	0.2675178292109484	0.53010857997721	0.3063277008332773	0.0	0.2890627727185123	0.37920383205793656
0.4087483768354913	0.6426566240210325	0.04274288642097664	0.05802375556210834	0.440310549225364	0.5980446945096767	0.4301951733651706	0.0	0.0017380136648037993	0.15450033043410605
0.6757099358091639	0.4542827844316651	0.12521855062233272	0.04310300614565118	0.6830848316951931	0.7271375060010568	0.6911846507663562	0.0	0.014353671242853031	0.17952202982409865
0.4563235195621197	0.43113638004386634	0.7679701731107017	0.8462079944482952	0.45658139767989214	0.4671735334432492	0.4722064713296876	1.0	0.5365561818690383	0.6222814614002344
0.23046145929841919	0.9730152704228588	0.34041646949347687	0.05556873911971661	0.5805736060936825	0.5676433905811783	0.5274084763441155	1.0	0.11599585369507612	0.3457270373132812
0.1670251134557905	0.5984977610561762	0.932560333895609	0.7365864118448066	0.6119457058935706	0.4109401282081832	0.6048212857613289	0.0	0.8155042424109826	0.7232894577646214
0.4295053147710043	0.8900440793566081	0.2861060030139592	0.16578138802846082	0.03165330217147932	0.27996206525560813	0.0013476804811146425	1.0	0.08081161603222763	0.33302097483716875
0.7808611968585191	0.3051365878588964	0.28253639549629295	0.05095224848293209	0.354141412688403	0.3300026121464232	0.3889571977823057	0.0	0.0709857713049695	0.14428500561281749
0.9682241011893102	0.8509998802252294	0.6130756615496429	0.8597395581737141	0.19836872456448246	0.6160216238069562	0.16980707516400267	0.0	0.36840256018982087	0.4909519216885797
0.858267103755499	0.33043691219120713	0.3877194362316106	0.05665875798610937	0.567634866593283	0.42891071655053864	0.5934515126703941	0.0	0.13427661495226265	0.16540156758945035
0.6081936208234838	0.10328341944204296	0.5138873243848894	0.8140301661142062	0.6412663636538178	0.5882228177974582	0.692668861565767	1.0	0.22579563203420386	0.38951932826992675
0.08709290036110803	0.9531649382629694	0.18911093958332614	0.13647184289839667	0.6479178833305909	0.3826940076595416	0.5955300261695227	0.0	0.035703395146739786	0.22353888753612014
